DATAFLOW,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2012,16.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2013,16.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2014,16.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2015,15.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2016,15.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2017,15.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2018,15.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LT,2019,14.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2010,23.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2011,22.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2012,23.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2013,23.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2014,23.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2015,24.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2016,24.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2017,24.5,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2018,24.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LU,2019,24.2,p
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2010,21.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2011,21.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2012,22.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2013,21.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2014,21.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2015,21.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2016,21.3,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2017,21.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2018,21.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,LV,2019,20.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2010,12.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2011,12.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2012,13.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2013,14.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2014,13.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2015,13.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2016,12.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2017,12.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2018,12.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,ME,2019,11.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MK,2010,25.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MK,2011,24.7,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MK,2012,26.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MK,2013,25.8,e
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2010,13.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2011,12.9,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2012,13.1,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2013,12.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2014,12.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2015,12.0,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2016,12.8,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2017,13.2,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2018,12.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,MT,2019,12.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,NL,2010,22.6,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,NL,2011,22.4,
ESTAT:NAMA_10_CO3_P3(1.0),A,PC_TOT,CP04,NL,2012,23.4,
