DATAFLOW,freq,tenure,indic_il,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IE,2019,29685,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IS,2010,20670,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IS,2011,20699,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IS,2012,21493,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IS,2013,23322,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IS,2014,24521,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IS,2015,27527,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IS,2016,31665,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IS,2017,37451,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IS,2018,43772,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2010,18221,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2011,18149,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2012,18267,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2013,17932,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2014,17914,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2015,17890,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2016,18286,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2017,18714,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2018,19208,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,IT,2019,19528,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2010,4975,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2011,4503,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2012,5124,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2013,5648,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2014,5975,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2015,6558,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2016,7033,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2017,7555,
ESTAT:ILC_DI09(1.0),A,TOTAL,MEI_E,EUR,T,TOTAL,LT,2018,8415,
